106.83,-2.38,-64.27,22,104343,0,0
106.84,-2.46,-64.20,38,104359,0,0
106.92,-2.54,-64.07,55,104376,0,0
106.93,-2.53,-64.05,71,104392,0,0
106.86,-2.53,-64.04,102,104409,0,0
106.87,-2.48,-64.06,139,104425,0,0
106.96,-2.59,-63.88,178,104441,0,0
106.96,-2.60,-63.83,215,104458,0,0
106.90,-2.55,-63.90,251,104474,0,0
106.94,-2.60,-63.78,288,104491,0,0
106.85,-2.52,-63.86,327,104515,0,0
107.00,-2.37,-63.86,364,104554,0,0
105.75,-3.91,-63.75,401,104591,0,0
106.03,-3.53,-63.92,438,104628,0,0
106.65,-2.33,-63.99,477,104667,0,0
107.50,-2.44,-63.88,514,104704,0,0
108.36,-2.88,-64.42,550,104740,1,0
109.14,-3.18,-64.84,589,104779,1,0
109.56,-4.30,-64.80,626,104816,1,0
108.28,-4.28,-65.08,663,104853,1,0
108.50,-4.05,-65.01,700,104892,1,0
108.86,-5.20,-65.13,739,104929,1,0
106.85,-4.68,-65.78,776,104966,1,0
107.57,-4.28,-65.68,813,105005,1,0
106.99,-2.44,-65.97,851,105041,1,0
107.11,-0.03,-65.44,888,105078,1,0
107.63,2.08,-65.03,925,105117,1,0
109.88,1.76,-63.58,962,105154,1,0
108.10,-0.31,-62.58,999,105191,1,0
109.71,-0.05,-61.50,1036,105230,1,0
107.99,-1.78,-61.47,1075,105267,0,0
109.39,-1.07,-60.79,1114,105304,0,0
108.09,-3.88,-61.22,1150,105340,0,0
108.61,-4.77,-60.96,1189,105377,0,0
107.83,-7.87,-61.54,1228,105416,0,0
108.16,-8.13,-62.37,1267,105455,0,0
108.90,-9.12,-62.81,1304,105492,0,0
109.49,-9.76,-63.18,1343,105533,0,0
109.66,-9.98,-63.72,1382,105570,0,0
110.09,-9.64,-63.64,1421,105609,0,1
110.43,-10.17,-63.85,1460,105648,0,1
109.40,-9.48,-64.60,1499,105687,0,1
108.92,-10.31,-65.58,1538,105723,0,1
107.52,-8.72,-67.05,1576,105764,0,1
104.96,-11.42,-68.31,1615,105801,1,1
103.29,-11.21,-69.32,1654,105840,1,1
103.89,-11.06,-66.90,1693,105881,1,1
103.41,-9.01,-64.75,1734,105920,1,1
102.59,-4.31,-64.20,1773,105957,1,1
100.91,3.68,-65.25,1810,105998,1,1
98.54,13.96,-65.63,1849,106037,1,1
96.73,19.69,-64.50,1886,106076,1,1
94.36,24.85,-63.79,1923,106117,1,1
92.49,27.54,-62.94,1959,106153,1,1
93.13,26.99,-62.00,1998,106190,1,1
94.82,20.87,-60.78,2035,106229,1,1
96.89,13.79,-58.55,2072,106266,1,1
98.62,7.49,-57.94,2111,106305,0,1
101.95,3.04,-56.57,2146,106342,0,1
103.97,-0.78,-56.84,2185,106379,0,1
105.33,-1.56,-58.22,2222,106418,0,1
105.42,-0.77,-59.25,2260,106455,0,1
106.54,-0.27,-59.48,2299,106491,0,1
107.72,-1.29,-60.29,2338,106528,0,1
106.98,-0.52,-61.43,2377,106567,0,1
108.27,-0.48,-61.72,2414,106606,0,1
109.50,-1.77,-62.28,2453,106645,0,1
109.31,-2.44,-63.24,2492,106682,0,1
107.29,-5.92,-63.79,2531,106723,0,1
105.62,-8.77,-64.06,2568,106760,0,1
106.00,-10.58,-62.80,2607,106799,0,1
105.84,-13.96,-61.70,2648,106838,1,1
106.76,-19.67,-59.88,2686,106876,1,1
110.65,-24.64,-57.17,2725,106913,1,1
115.37,-31.32,-53.25,2764,106952,1,1
116.82,-33.15,-55.52,2805,106991,1,1
113.58,-33.17,-61.96,2844,107032,1,1
110.11,-28.60,-66.08,2883,107071,1,1
108.15,-18.27,-66.35,2924,107112,1,1
105.90,-3.97,-64.97,2963,107151,1,1
100.55,10.89,-64.30,3002,107190,1,1
94.68,22.93,-62.79,3041,107231,1,1
88.07,34.94,-59.74,3078,107270,1,1
80.75,44.07,-53.59,3115,107311,1,1
87.02,45.71,-59.77,3151,107347,0,1
87.51,41.86,-61.78,3190,107386,0,1
90.65,31.97,-60.79,3227,107425,0,1
94.61,25.93,-58.54,3264,107462,0,1
96.75,19.61,-56.89,3301,107501,0,1
98.79,14.97,-58.20,3340,107536,0,1
100.52,10.89,-58.08,3377,107575,0,1
102.24,7.62,-57.89,3416,107612,0,1
103.75,4.47,-58.60,3452,107651,0,1
104.78,1.76,-58.96,3489,107687,0,1
104.99,-1.43,-58.98,3528,107724,0,1
105.70,-4.80,-58.84,3565,107765,0,1
106.39,-7.22,-59.44,3604,107802,0,1
106.92,-8.18,-60.18,3643,107837,0,1
105.91,-9.91,-60.54,3682,107876,1,1
105.65,-12.28,-59.43,3721,107915,1,1
106.48,-15.54,-58.56,3760,107954,1,1
107.04,-22.35,-60.28,3799,107993,1,1
110.91,-30.73,-56.70,3840,108032,1,1
116.53,-36.74,-52.25,3878,108070,1,1
113.04,-36.85,-58.46,3917,108107,1,1
108.29,-33.55,-65.99,3956,108148,1,1
106.13,-24.43,-67.51,3997,108187,1,1
104.97,-10.19,-65.30,4036,108228,1,1
102.91,4.87,-63.99,4075,108267,1,1
96.01,19.00,-63.97,4114,108306,1,1
90.85,32.34,-63.13,4151,108347,1,1
84.05,43.63,-59.42,4188,108386,0,1
85.52,47.47,-58.96,4225,108427,0,1
84.31,38.26,-54.75,4263,108464,0,1
85.13,30.27,-53.23,4300,108500,0,1
90.08,21.32,-54.90,4337,108539,0,1
94.15,14.83,-52.46,4376,108576,0,1
96.87,9.26,-52.17,4413,108615,0,0
98.71,5.23,-54.79,4450,108652,0,0
