20.88,-43.70,57.91,26,33697,1,1
21.13,-43.58,57.90,43,33714,1,1
21.18,-43.91,57.71,59,33730,1,1
21.14,-44.38,57.48,81,33746,1,1
21.31,-44.73,57.47,116,33763,1,1
21.52,-44.99,57.46,151,33779,1,1
22.11,-44.96,57.77,186,33796,1,1
22.87,-44.96,58.23,221,33812,1,1
23.68,-45.07,58.77,258,33828,1,1
24.45,-45.31,59.32,292,33845,1,1
25.68,-45.86,60.33,327,33875,1,1
26.30,-45.96,61.03,362,33908,1,1
24.88,-46.08,60.28,399,33945,1,1
22.62,-44.33,59.01,434,33980,1,1
20.68,-42.81,57.70,468,34017,1,1
21.22,-42.98,58.04,503,34052,1,1
22.02,-43.64,58.58,540,34086,1,1
22.35,-44.66,58.73,575,34123,1,1
22.70,-45.62,58.99,610,34158,0,1
23.11,-46.31,59.26,645,34195,0,1
23.94,-46.23,59.88,681,34230,0,1
24.70,-45.49,60.50,716,34265,0,1
24.60,-45.19,60.40,751,34299,0,1
24.38,-44.88,60.26,788,34334,0,1
24.01,-44.81,59.97,823,34371,0,1
24.04,-44.78,60.01,858,34406,0,1
24.24,-44.86,60.22,892,34441,0,1
24.21,-44.71,60.25,929,34478,0,1
23.99,-44.74,60.08,964,34512,0,1
23.62,-45.03,59.74,999,34549,0,1
24.00,-44.78,60.06,1034,34584,0,1
24.01,-44.94,60.04,1071,34619,0,1
23.95,-45.20,59.99,1107,34656,0,1
23.97,-45.27,59.97,1144,34691,1,1
23.84,-45.25,59.87,1181,34725,1,1
23.56,-45.21,59.71,1216,34762,1,1
23.54,-45.04,59.76,1253,34797,1,1
23.38,-45.14,59.66,1290,34836,1,1
23.22,-45.10,59.52,1327,34871,1,1
23.75,-44.64,60.00,1361,34910,1,1
23.86,-44.70,60.08,1398,34945,1,1
23.70,-44.87,59.92,1435,34981,1,1
23.47,-45.08,59.69,1472,35018,1,1
23.56,-44.79,59.84,1507,35053,1,1
23.44,-45.04,59.80,1544,35092,1,1
23.29,-45.17,59.64,1581,35127,1,1
